coord_x,coord_y,filename
3024,3312,136.jpg
4176,3024,33.jpg
432,2448,326.jpg
3984,336,292.jpg
3408,1104,265.jpg
1488,336,169.jpg
1680,624,126.jpg
912,1296,643.jpg
4656,1584,109.jpg
3888,1392,695.jpg
720,2256,496.jpg
2544,1680,42.jpg
1200,1776,40.jpg
3408,2160,116.jpg
4464,1968,260.jpg
1968,1104,277.jpg
4656,1104,592.jpg
2928,816,708.jpg
3696,1296,36.jpg
4656,1104,662.jpg
3984,2832,237.jpg
4080,816,643.jpg
4944,2928,493.jpg
3312,624,262.jpg
2352,240,527.jpg
3600,912,694.jpg
3312,1776,330.jpg
2352,2160,10.jpg
1104,1296,191.jpg
2256,1200,497.jpg
4752,624,402.jpg
3792,1200,330.jpg
240,3024,187.jpg
4176,3216,256.jpg
144,3024,398.jpg
1968,3312,126.jpg
2928,624,115.jpg
5424,2928,447.jpg
4464,1296,120.jpg
4368,1968,424.jpg
816,816,407.jpg
4752,3408,710.jpg
1488,432,314.jpg
3984,3600,55.jpg
3504,240,541.jpg
2736,2640,632.jpg
528,1104,152.jpg
48,3216,445.jpg
1968,3600,99.jpg
3504,3504,652.jpg
3888,2544,348.jpg
1200,1200,739.jpg
624,3216,729.jpg
2064,3408,427.jpg
1680,1680,680.jpg
4176,2928,229.jpg
2352,2640,87.jpg
816,336,58.jpg
2160,624,271.jpg
5520,2832,343.jpg
528,2928,101.jpg
2832,1776,277.jpg
2064,144,125.jpg
3792,2064,447.jpg
2352,240,330.jpg
3984,1968,534.jpg
3600,3024,748.jpg
4560,2544,430.jpg
2544,1968,195.jpg
1584,3120,436.jpg
48,2352,419.jpg
720,2160,250.jpg
432,1008,317.jpg
2736,2928,90.jpg
4176,3120,717.jpg
4560,1296,747.jpg
2160,3600,204.jpg
5136,1104,629.jpg
4656,3216,292.jpg
1392,1776,196.jpg
3888,1872,544.jpg
912,1200,446.jpg
720,2064,320.jpg
4272,2448,657.jpg
528,432,261.jpg
5040,240,383.jpg
2544,3120,69.jpg
3408,528,273.jpg
3024,1008,42.jpg
2256,2256,372.jpg
3984,2256,470.jpg
5232,144,318.jpg
912,1680,83.jpg
3312,240,251.jpg
3696,240,668.jpg
4848,1296,372.jpg
528,624,253.jpg
3408,528,585.jpg
720,1776,463.jpg
4176,3408,540.jpg
1968,720,173.jpg
240,1872,315.jpg
144,1968,169.jpg
2064,528,294.jpg
2352,336,662.jpg
1200,2256,635.jpg
528,528,312.jpg
5040,3120,688.jpg
1296,3216,504.jpg
3888,2352,686.jpg
3216,240,467.jpg
3216,2544,427.jpg
